price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,sports_centers,social_wellness_index,urban_mobility_index,education_index,employment_index,health_index,kmean_cluster
995000,planta 2,exterior,4,118.0,1,0,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0,0
1130000,planta 3,exterior,2,78.0,1,1,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19,0
235000,bajo,interior,1,40.0,1,0,Gaztambide,chamberi,0.0,6.02,19.59,5.61,5.37,9.86,0
1500000,planta 5,exterior,3,135.0,1,1,Palos de Moguer,arganzuela,1.0,6.19,9.22,4.5,6.45,5.89,0
640000,planta 2,exterior,3,115.0,1,1,Valdefuentes,hortaleza,0.0,5.84,5.49,4.49,5.32,7.08,0
290000,bajo,interior,2,54.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71,0
560000,planta 1,exterior,3,104.0,1,1,Delicias,arganzuela,1.0,6.35,7.14,6.22,5.81,6.34,0
1560000,planta 1,exterior,3,145.0,1,0,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19,0
234000,planta 2,exterior,3,62.0,1,0,Ventas,ciudad lineal,0.0,5.9,6.81,6.34,7.79,6.97,0
239000,bajo,exterior,1,37.0,1,0,Argüelles,moncloa,0.0,5.25,23.84,3.97,5.57,5.97,0
159000,bajo,exterior,2,54.0,1,0,Pueblo Nuevo,ciudad lineal,2.0,5.74,7.56,6.53,8.17,6.18,0
375000,planta 4,exterior,2,108.0,1,1,Quintana,ciudad lineal,0.0,6.2,12.09,5.87,8.41,6.76,0
840000,planta 10,exterior,4,125.0,1,1,Nueva España,chamartin,1.0,7.48,6.48,4.98,4.38,6.82,0
380000,planta 4,exterior,1,40.0,1,1,Prosperidad,chamartin,0.0,5.57,9.03,5.38,4.84,6.59,0
679000,planta 2,interior,2,72.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71,0
1419000,bajo,exterior,3,149.0,1,0,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0,0
698000,planta 7,interior,3,79.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71,0
310000,entreplanta,exterior,2,144.0,1,1,Bellas Vistas,tetuan,0.0,6.46,11.66,9.13,9.37,6.02,0
950000,planta 6,exterior,2,98.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71,0
1349000,planta 1,exterior,2,120.0,1,0,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19,0
470000,planta 7,exterior,0,36.0,1,0,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0,0
940000,planta 8,exterior,3,135.0,1,0,Gaztambide,chamberi,0.0,6.02,19.59,5.61,5.37,9.86,0
1200000,planta 3,exterior,2,100.0,1,1,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71,0
1250000,bajo,exterior,2,132.0,1,0,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0,0
580000,planta 8,exterior,1,80.0,1,0,Nueva España,chamartin,1.0,7.48,6.48,4.98,4.38,6.82,0
675000,bajo,interior,2,61.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71,0
492000,planta 7,exterior,0,49.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71,0
649000,planta 4,exterior,2,83.0,1,1,Corralejos,barajas,0.0,7.36,3.35,2.43,3.93,9.3,0
960000,planta 1,exterior,3,130.0,1,0,Gaztambide,chamberi,0.0,6.02,19.59,5.61,5.37,9.86,0
560000,planta 1,exterior,3,104.0,1,1,Delicias,arganzuela,1.0,6.35,7.14,6.22,5.81,6.34,0
425000,planta 1,exterior,1,55.0,1,0,Hispanoamérica,chamartin,0.0,5.56,7.37,5.15,4.38,6.32,0
445000,bajo,exterior,1,73.0,1,0,Argüelles,moncloa,0.0,5.25,23.84,3.97,5.57,5.97,0
995750,planta 1,exterior,2,134.0,1,1,Ciudad Jardín,chamartin,1.0,5.7,9.43,3.39,5.12,7.01,0
725000,planta 1,exterior,3,145.0,1,0,Vallehermoso,chamberi,2.0,5.95,8.37,5.36,4.21,9.75,0
599000,planta 8,exterior,3,125.0,1,1,Pacífico,retiro,2.0,6.13,11.74,3.79,4.8,6.71,0
699000,planta 1,interior,2,105.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71,0
780000,planta 7,interior,2,102.0,1,1,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71,0
335000,planta 1,interior,3,79.0,1,0,Peñagrande,fuencarral,1.0,5.95,5.62,5.3,5.14,6.19,0
590000,planta 2,exterior,1,75.0,1,1,Argüelles,moncloa,0.0,5.25,23.84,3.97,5.57,5.97,0
795000,planta 5,exterior,3,128.0,1,0,Fuente del Berro,salamanca,2.0,6.04,5.76,5.1,5.14,5.95,0
620000,entreplanta,interior,2,98.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71,0
169900,planta 2,interior,2,57.0,1,0,Canillejas,san-blas,0.0,6.2,6.24,7.96,8.3,5.88,0
449000,planta 10,exterior,3,91.0,1,0,La Paz,fuencarral,1.0,5.57,4.55,4.62,4.23,7.44,0
550000,planta 2,exterior,2,88.0,1,1,Palomas,hortaleza,1.0,7.36,5.47,6.35,5.69,8.1,0
435000,planta 5,interior,2,66.0,1,0,Prosperidad,chamartin,0.0,5.57,9.03,5.38,4.84,6.59,0
420000,planta 7,exterior,2,80.0,1,0,Berruguete,tetuan,1.0,6.73,22.98,9.3,9.27,6.1,0
830000,planta 6,exterior,2,83.0,1,0,Ríos Rosas,chamberi,0.0,6.45,10.7,5.57,4.91,9.34,0
930000,planta 2,exterior,2,120.0,1,0,Almagro,chamberi,0.0,8.4,9.47,5.43,5.19,10.11,0
380000,planta 4,exterior,1,40.0,1,1,Prosperidad,chamartin,0.0,5.57,9.03,5.38,4.84,6.59,0
320000,bajo,interior,1,59.0,1,0,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91,0
580000,bajo,exterior,1,69.0,1,1,Piovera,hortaleza,0.0,7.08,6.86,6.49,5.55,7.8,0
299000,bajo,exterior,1,43.0,1,0,Castilla,chamartin,0.0,5.61,5.03,5.25,4.33,7.23,0
765000,planta 4,exterior,2,109.0,1,1,Mirasierra,fuencarral,1.0,6.2,5.3,4.26,4.33,7.05,0
297000,planta 1,exterior,3,53.0,1,0,Legazpi,arganzuela,1.0,6.38,4.52,5.81,4.57,7.24,0
679000,planta 3,exterior,3,144.0,1,1,Mirasierra,fuencarral,1.0,6.2,5.3,4.26,4.33,7.05,0
215000,bajo,interior,2,50.0,1,0,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91,0
850000,planta 5,exterior,2,86.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
1299000,planta 7,exterior,3,120.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
440000,planta 1,exterior,3,78.0,1,0,Guindalera,salamanca,1.0,6.17,5.73,4.94,4.63,7.34,0
695000,planta 4,exterior,3,137.0,1,1,Canillas,hortaleza,1.0,4.84,6.74,6.07,5.39,8.55,0
1495000,planta 2,exterior,3,138.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
875000,bajo,exterior,3,149.0,1,0,Ibiza,retiro,0.0,8.17,56.34,3.6,5.55,6.55,0
1275000,casa,exterior,3,125.0,1,0,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0,0
965000,planta 4,exterior,3,145.0,1,1,Hispanoamérica,chamartin,0.0,5.56,7.37,5.15,4.38,6.32,0
1060000,planta 4,exterior,3,146.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
750000,planta 1,exterior,2,111.0,1,0,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91,0
568000,planta 8,interior,2,90.0,1,0,Cuatro Caminos,tetuan,0.0,6.49,7.5,8.5,6.79,6.62,0
900000,planta 2,exterior,2,95.0,1,0,El Viso,chamartin,0.0,7.5,5.25,5.08,4.59,7.35,0
1129000,planta 6,interior,2,103.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
650000,planta 2,interior,2,65.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
460000,planta 2,exterior,1,68.0,1,1,Piovera,hortaleza,0.0,7.08,6.86,6.49,5.55,7.8,0
1075000,planta 6,exterior,1,75.0,1,0,Ríos Rosas,chamberi,0.0,6.45,10.7,5.57,4.91,9.34,0
600000,planta 6,exterior,2,130.0,1,1,Pueblo Nuevo,ciudad lineal,2.0,5.74,7.56,6.53,8.17,6.18,0
1049900,planta 3,exterior,2,78.0,1,1,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19,0
1350000,planta 2,exterior,3,147.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
1450000,planta 3,exterior,3,139.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
895000,planta 3,exterior,2,112.0,1,0,El Viso,chamartin,0.0,7.5,5.25,5.08,4.59,7.35,0
1080000,planta 4,exterior,2,97.0,1,1,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71,0
